,type,created_at,repo_id,repo_name,actor_id,actor_login,org_id,org_login,event_type,event_ref,event_pusher_type
2351,DeleteEvent,2018-04-28 11:35:14+00:00,39780739,adamchainz/pretty-cron,857609,adamchainz,,,branch,upgrade_requirements,user
2406,DeleteEvent,2018-07-21 12:35:11+00:00,56346915,liminspace/django-mjml,5173158,liminspace,,,branch,pyup-scheduled-update-2018-07-20,user
2416,DeleteEvent,2015-12-09 15:56:55+00:00,8582627,mgedmin/check-manifest,159967,mgedmin,,,branch,appveyor,user
2430,DeleteEvent,2018-04-28 02:27:29+00:00,124495375,rohanpm/more-executors,26634292,bors[bot],,,branch,staging.tmp,user
2469,DeleteEvent,2017-11-16 11:03:21+00:00,30379674,adamchainz/django-mysql,857609,adamchainz,,,branch,fix_coverage,user
2551,DeleteEvent,2018-02-28 10:41:44+00:00,22706964,marcoagner/Flask-QRcode,5016303,marcoagner,,,branch,pmccallum-io-fix,user
2599,DeleteEvent,2017-01-22 01:02:57+00:00,11059073,rm-hull/luma.led_matrix,305679,thijstriemstra,,,branch,py36,user
2695,DeleteEvent,2016-05-26 11:54:17+00:00,16474183,matllubos/django-is-core,424409,matllubos,,,tag,1.3.117,user
2704,DeleteEvent,2017-01-13 09:21:18+00:00,3049190,moul/advanced-ssh-config,94029,moul,,,branch,dev/moul/graphviz-isolated-hosts,user
2814,DeleteEvent,2018-03-12 15:14:54+00:00,101357472,hydrosquall/tiingo-python,9020979,hydrosquall,,,branch,pyup-update-tiingo-0.4.1-to-0.4.2,user
2816,DeleteEvent,2017-09-17 21:42:06+00:00,101357472,hydrosquall/tiingo-python,9020979,hydrosquall,,,branch,pyup-pin-tiingo-0.2.0,user
2931,DeleteEvent,2015-07-08 22:32:55+00:00,26150368,abenassi/Google-Search-API,4405346,abenassi,,,tag,1.1.5,user
2967,DeleteEvent,2018-05-30 04:09:23+00:00,84378170,joliveros/bitmex-websocket,5973528,joliveros,,,branch,refactor-better-error-handling,user
2970,DeleteEvent,2017-11-26 05:09:29+00:00,35990433,kata198/AdvancedHTMLParser,8461115,kata198,,,tag,7.4.0pre1,user
3037,DeleteEvent,2018-05-11 05:42:54+00:00,130800886,davedittrich/python_secrets,1874225,davedittrich,,,branch,release/0.8,user
3071,DeleteEvent,2016-01-24 12:23:35+00:00,3051589,yprez/django-logentry-admin,667418,yprez,,,branch,raise-coverage,user
3139,DeleteEvent,2018-08-08 08:03:22+00:00,4830226,reinout/z3c.dependencychecker,121433,reinout,,,branch,fix-req-that-should-be-test-req,user
3268,DeleteEvent,2016-07-04 20:02:17+00:00,60992815,Robpol86/sphinxcontrib-versioning,3413339,Robpol86,,,branch,stage,user
3574,DeleteEvent,2018-05-25 03:58:33+00:00,64772504,Yelp/py_zipkin,5392381,bplotnick,49071,Yelp,branch,fix-error-tracing-with-unicode,user
3653,DeleteEvent,2015-06-09 15:06:00+00:00,6982635,plone/mockup,505904,obct537,72034,plone,branch,syntax-highlighting,user
3664,DeleteEvent,2015-12-01 15:14:37+00:00,3541341,plone/plone.api,42489,adamcheasley,72034,plone,branch,gforcada-patch-1,user
3666,DeleteEvent,2016-01-19 22:09:14+00:00,2414898,plone/five.intid,170891,thet,72034,plone,branch,update-acquisition,user
3670,DeleteEvent,2018-07-23 10:49:33+00:00,83574500,plone/guillotina,524413,vangheem,72034,plone,branch,executioner,user
3671,DeleteEvent,2017-12-06 17:43:29+00:00,83574500,plone/guillotina,524413,vangheem,72034,plone,branch,cache-security,user
3680,DeleteEvent,2015-09-04 17:24:03+00:00,2414897,plone/plone.subrequest,524413,vangheem,72034,plone,branch,propagate-idisabledcsrfprotection,user
3686,DeleteEvent,2015-11-23 05:22:07+00:00,2452743,plone/plone.app.portlets,524413,vangheem,72034,plone,branch,add-authenticator-to-group-portlet-links,user
3719,DeleteEvent,2018-08-01 13:39:57+00:00,64285290,melexis/sphinx-traceability-extension,17571703,SteinHeselmans,128522,melexis,branch,sorted-export,user
3735,DeleteEvent,2017-02-07 10:08:22+00:00,60273704,mozilla/DeepSpeech,12054740,kdavis-mozilla,131524,mozilla,branch,issue349,user
3773,DeleteEvent,2016-11-28 14:57:42+00:00,8463294,mozilla/treeherder,501702,edmorley,131524,mozilla,branch,1318474-part1,user
3776,DeleteEvent,2016-01-19 19:20:59+00:00,8463294,mozilla/treeherder,8754627,autolander,131524,mozilla,branch,integration-master,user
3784,DeleteEvent,2018-05-10 16:58:08+00:00,8463294,mozilla/treeherder,501702,edmorley,131524,mozilla,branch,fix-ui-development-login,user
3824,DeleteEvent,2016-05-23 17:11:36+00:00,527040,recurly/recurly-client-python,185919,bhelx,144605,recurly,branch,bump_2_2_20,user
3825,DeleteEvent,2017-06-08 07:46:36+00:00,44727741,vikingco/flake8-builtins,3349855,Duologic,145713,vikingco,branch,TFD-850/add-function-arguments,user
3944,DeleteEvent,2017-09-29 21:19:28+00:00,78797564,palantir/python-language-server,1928052,gatesn,303157,palantir,branch,ngates/pycodestyle-options,user
3945,DeleteEvent,2017-06-27 18:52:32+00:00,78797564,palantir/python-language-server,1928052,gatesn,303157,palantir,branch,ngates/code-actions,user
3950,DeleteEvent,2016-11-14 09:06:38+00:00,744916,gem/oq-engine,2463856,micheles,316546,gem,branch,use-dbserver,user
3952,DeleteEvent,2017-08-16 06:11:25+00:00,744916,gem/oq-engine,2463856,micheles,316546,gem,branch,no-sequential,user
